velocity (km/s),I_data (K),I_fit (K),HINSA_I (K),CNM1_I (K)           ,CNM2_I (K),CNM3_I (K),WNM_I (K),V_data (K),V_fit (K),HINSA_V (K)
12.857890,16.774854,15.920002,-0.000000,2.887975,0.000027,0.246068,12.785931,0.004118,-0.001509,-0.000000
12.958540,16.182578,15.247301,-0.000000,2.517817,0.000022,0.201140,12.528323,0.006036,-0.001070,-0.000000
13.059180,15.608601,14.618467,0.000000,2.188198,0.000017,0.163935,12.266317,0.009851,-0.000672,0.000000
13.159820,15.023725,14.030028,0.000000,1.895763,0.000014,0.133227,12.001025,0.009954,-0.000315,0.000000
13.260460,14.488829,13.478742,-0.000000,1.637289,0.000011,0.107963,11.733480,-0.000172,0.000005,-0.000000
13.361100,13.990563,12.961543,0.000000,1.409672,0.000009,0.087244,11.464617,-0.012583,0.000289,0.000000
13.461740,13.457777,12.475548,-0.000000,1.209959,0.000007,0.070307,11.195275,-0.014768,0.000540,-0.000000
13.562380,12.999020,12.018067,0.000000,1.035356,0.000005,0.056504,10.926202,-0.004880,0.000759,-0.000000
13.663020,12.539954,11.586601,0.000000,0.883247,0.000004,0.045288,10.658062,0.006095,0.000950,0.000000
13.763660,12.080858,11.178843,0.000000,0.751198,0.000003,0.036202,10.391440,0.007055,0.001114,-0.000000
13.864300,11.660042,10.792673,-0.000000,0.636959,0.000003,0.028862,10.126849,-0.003841,0.001255,-0.000000
13.964950,11.216085,10.426119,-0.000000,0.538457,0.000002,0.022950,9.864709,-0.007408,0.001373,-0.000000
14.065590,10.836819,10.077492,-0.000000,0.453830,0.000002,0.018202,9.605458,0.001667,0.001471,-0.000000
14.166230,10.444543,9.745160,0.000000,0.381359,0.000001,0.014400,9.349400,0.002456,0.001552,0.000000
14.266870,10.064797,9.427685,-0.000000,0.319505,0.000001,0.011362,9.096817,-0.003016,0.001617,0.000000
14.367510,9.685100,9.123777,-0.000000,0.266887,0.000001,0.008943,8.847946,0.000262,0.001667,0.000000
14.468150,9.334954,8.832280,-0.000000,0.222273,0.000001,0.007021,8.602986,0.005554,0.001705,0.000000
14.568790,8.959588,8.552165,-0.000000,0.184568,0.000000,0.005498,8.362098,0.009073,0.001732,0.000000
14.669430,8.677612,8.282519,0.000000,0.152807,0.000000,0.004295,8.125417,0.009539,0.001749,0.000000
14.770070,8.356566,8.022531,-0.000000,0.126137,0.000000,0.003347,7.893047,0.001939,0.001758,0.000000
14.870710,8.020349,7.771487,0.000000,0.103816,0.000000,0.002601,7.665070,0.001115,0.001759,0.000000
14.971360,7.709303,7.528734,0.000000,0.085191,0.000000,0.002017,7.441526,0.005839,0.001754,-0.000000
15.072000,7.417877,7.293765,0.000000,0.069703,0.000000,0.001560,7.222502,0.003891,0.001743,-0.000000
15.172640,7.158140,7.066071,0.000000,0.056864,0.000000,0.001204,7.008003,0.002675,0.001728,-0.000000
15.273280,6.898934,6.845224,-0.000000,0.046253,0.000000,0.000926,6.798044,0.002396,0.001709,-0.000000
15.373920,6.602958,6.630850,-0.000000,0.037512,0.000000,0.000711,6.592627,0.003312,0.001687,-0.000000
15.474560,6.367772,6.422623,-0.000000,0.030334,0.000000,0.000545,6.391745,0.002505,0.001662,-0.000000
15.575200,6.092696,6.220254,0.000000,0.024457,0.000000,0.000416,6.195381,-0.001473,0.001635,0.000000
15.675840,5.860519,6.023489,0.000000,0.019661,0.000000,0.000317,6.003511,0.000134,0.001606,-0.000000
15.776480,5.595893,5.832106,-0.000000,0.015759,0.000000,0.000241,5.816106,0.001019,0.001576,0.000000
15.877120,5.368627,5.645907,-0.000000,0.012595,0.000000,0.000183,5.633129,-0.000221,0.001544,-0.000000
15.977760,5.176741,5.464716,-0.000000,0.010037,0.000000,0.000138,5.454541,0.003917,0.001512,-0.000000
16.078410,4.960924,5.288359,0.000000,0.007974,0.000000,0.000104,5.280280,0.004453,0.001479,-0.000000
16.179050,4.733698,5.116729,0.000000,0.006317,0.000000,0.000079,5.110333,-0.004176,0.001446,-0.000000
16.279690,4.549022,4.949679,-0.000000,0.004990,0.000000,0.000059,4.944630,-0.011503,0.001412,-0.000000
16.380330,4.354735,4.787094,0.000000,0.003930,0.000000,0.000044,4.783119,-0.004397,0.001378,0.000000
16.480970,4.145479,4.628863,0.000000,0.003086,0.000000,0.000033,4.625744,0.005009,0.001345,0.000000
16.581610,3.989003,4.474888,0.000000,0.002416,0.000000,0.000025,4.472447,0.000720,0.001311,-0.000000
16.682250,3.807617,4.325073,-0.000000,0.001886,0.000000,0.000018,4.323168,-0.004616,0.001278,0.000000
16.782890,3.634831,4.179329,-0.000000,0.001468,0.000000,0.000014,4.177847,-0.005487,0.001244,-0.000000
16.883530,3.464114,4.037572,-0.000000,0.001140,0.000000,0.000010,4.036423,-0.009821,0.001212,0.000000
16.984170,3.309948,3.899720,0.000000,0.000882,0.000000,0.000007,3.898831,-0.012314,0.001179,-0.000000
17.084820,3.166392,3.765681,0.000000,0.000681,0.000000,0.000005,3.764995,-0.006572,0.001147,0.000000
17.185460,3.013295,3.635405,-0.000000,0.000524,0.000000,0.000004,3.634878,-0.002435,0.001116,-0.000000
17.286100,2.872449,3.508804,0.000000,0.000402,0.000000,0.000003,3.508399,-0.002642,0.001085,-0.000000
17.386740,2.729693,3.385804,-0.000000,0.000307,0.000000,0.000002,3.385495,-0.000736,0.001054,-0.000000
17.487380,2.585517,3.266334,0.000000,0.000234,0.000000,0.000002,3.266098,0.001633,0.001024,0.000000
17.588020,2.481171,3.150322,-0.000000,0.000178,0.000000,0.000001,3.150143,0.002240,0.000994,0.000000
17.688660,2.329774,3.037699,-0.000000,0.000135,0.000000,0.000001,3.037563,-0.003421,0.000965,-0.000000
17.789300,2.203908,2.928395,0.000000,0.000102,0.000000,0.000001,2.928292,-0.007868,0.000937,0.000000
17.889940,2.109162,2.822340,0.000000,0.000077,0.000000,0.000000,2.822262,-0.000679,0.000909,0.000000
17.990580,1.986256,2.719467,-0.000000,0.000058,0.000000,0.000000,2.719408,0.001931,0.000882,0.000000
18.091230,1.858889,2.619697,0.000000,0.000043,0.000000,0.000000,2.619654,-0.004551,0.000855,0.000000
18.191870,1.753283,2.522985,-0.000000,0.000032,0.000000,0.000000,2.522952,-0.005088,0.000829,0.000000
18.292510,1.643417,2.429251,0.000000,0.000024,0.000000,0.000000,2.429227,0.001127,0.000803,0.000000
18.393150,1.561361,2.338431,0.000000,0.000018,0.000000,0.000000,2.338413,0.006892,0.000778,0.000000
18.493790,1.457714,2.250459,0.000000,0.000013,0.000000,0.000000,2.250445,0.003989,0.000754,-0.000000
18.594430,1.361948,2.165268,-0.000000,0.000010,0.000000,0.000000,2.165258,-0.000673,0.000730,0.000000
18.695070,1.288312,2.082795,0.000000,0.000007,0.000000,0.000000,2.082788,0.004111,0.000707,0.000000
18.795710,1.197176,2.002975,-0.000000,0.000005,0.000000,0.000000,2.002970,0.003595,0.000684,-0.000000
18.896350,1.120300,1.925744,0.000000,0.000004,0.000000,0.000000,1.925740,-0.003687,0.000661,0.000000
18.996990,1.031863,1.851040,-0.000000,0.000003,0.000000,0.000000,1.851037,-0.002977,0.000640,0.000000
19.097630,0.956277,1.778800,-0.000000,0.000002,0.000000,0.000000,1.778798,0.000448,0.000619,-0.000000
19.198280,0.888231,1.708955,-0.000000,0.000001,0.000000,0.000000,1.708954,-0.001812,0.000598,-0.000000
19.298920,0.820794,1.641459,-0.000000,0.000001,0.000000,0.000000,1.641458,-0.004789,0.000578,0.000000
19.399560,0.737958,1.576245,-0.000000,0.000001,0.000000,0.000000,1.576244,0.000086,0.000558,0.000000
19.500200,0.673782,1.513252,0.000000,0.000001,0.000000,0.000000,1.513251,0.009638,0.000539,-0.000000
19.600840,0.629936,1.452422,0.000000,0.000000,0.000000,0.000000,1.452422,0.013429,0.000520,-0.000000
19.701480,0.558270,1.393698,0.000000,0.000000,0.000000,0.000000,1.393697,0.009106,0.000502,0.000000
19.802120,0.501703,1.337021,0.000000,0.000000,0.000000,0.000000,1.337021,-0.000318,0.000485,0.000000
19.902760,0.430737,1.282337,0.000000,0.000000,0.000000,0.000000,1.282337,-0.008249,0.000468,0.000000
20.003400,0.383651,1.229589,-0.000000,0.000000,0.000000,0.000000,1.229589,-0.007821,0.000451,-0.000000
20.104040,0.353785,1.178723,-0.000000,0.000000,0.000000,0.000000,1.178723,-0.003959,0.000435,-0.000000
20.204690,0.291718,1.129681,0.000000,0.000000,0.000000,0.000000,1.129681,-0.003678,0.000419,0.000000
20.305330,0.253652,1.082420,0.000000,0.000000,0.000000,0.000000,1.082420,-0.002701,0.000404,-0.000000
20.405970,0.193576,1.036883,-0.000000,0.000000,0.000000,0.000000,1.036883,-0.002226,0.000389,0.000000
20.506610,0.145699,0.993020,0.000000,0.000000,0.000000,0.000000,0.993020,-0.009470,0.000375,0.000000
20.607250,0.100433,0.950780,0.000000,0.000000,0.000000,0.000000,0.950780,-0.009095,0.000361,-0.000000
20.707890,0.061697,0.910115,-0.000000,0.000000,0.000000,0.000000,0.910115,0.002925,0.000347,-0.000000
20.808530,0.030841,0.870977,-0.000000,0.000000,0.000000,0.000000,0.870976,0.004442,0.000334,0.000000
20.909170,-0.012355,0.833318,0.000000,0.000000,0.000000,0.000000,0.833318,0.001484,0.000322,0.000000
21.009810,-0.044242,0.797093,0.000000,0.000000,0.000000,0.000000,0.797093,0.003994,0.000309,-0.000000
21.110450,-0.083538,0.762257,0.000000,0.000000,0.000000,0.000000,0.762257,0.001612,0.000297,0.000000
21.211100,-0.100124,0.728762,-0.000000,0.000000,0.000000,0.000000,0.728762,-0.003045,0.000286,-0.000000
21.311740,-0.129281,0.696572,0.000000,0.000000,0.000000,0.000000,0.696572,-0.002668,0.000275,0.000000
21.412380,-0.169267,0.665642,0.000000,0.000000,0.000000,0.000000,0.665642,-0.000595,0.000264,0.000000
21.513020,-0.185263,0.635930,0.000000,0.000000,0.000000,0.000000,0.635930,-0.002695,0.000254,-0.000000
21.613660,-0.220389,0.607396,0.000000,0.000000,0.000000,0.000000,0.607396,-0.001967,0.000243,-0.000000
21.714300,-0.226295,0.580000,-0.000000,0.000000,0.000000,0.000000,0.580000,0.003550,0.000234,0.000000
21.814940,-0.251252,0.553706,-0.000000,0.000000,0.000000,0.000000,0.553706,-0.000980,0.000224,-0.000000
21.915580,-0.258678,0.528474,-0.000000,0.000000,0.000000,0.000000,0.528474,-0.005638,0.000215,0.000000
22.016220,-0.303774,0.504269,0.000000,0.000000,0.000000,0.000000,0.504269,0.000417,0.000206,0.000000
22.116860,-0.309350,0.481056,0.000000,0.000000,0.000000,0.000000,0.481056,0.003633,0.000198,-0.000000
22.217500,-0.331606,0.458799,-0.000000,0.000000,0.000000,0.000000,0.458799,0.000620,0.000190,-0.000000
22.318150,-0.341483,0.437463,-0.000000,0.000000,0.000000,0.000000,0.437463,0.000888,0.000182,-0.000000
22.418790,-0.360909,0.417019,0.000000,0.000000,0.000000,0.000000,0.417019,0.002941,0.000174,-0.000000
22.519430,-0.371865,0.397434,-0.000000,0.000000,0.000000,0.000000,0.397434,-0.000978,0.000167,-0.000000
22.620070,-0.386692,0.378676,0.000000,0.000000,0.000000,0.000000,0.378676,-0.006124,0.000160,0.000000
22.720710,-0.393318,0.360715,0.000000,0.000000,0.000000,0.000000,0.360715,-0.003472,0.000153,-0.000000
22.821350,-0.410174,0.343523,0.000000,0.000000,0.000000,0.000000,0.343523,0.002818,0.000146,0.000000
22.921990,-0.403960,0.327070,0.000000,0.000000,0.000000,0.000000,0.327070,0.002527,0.000140,-0.000000
23.022630,-0.414126,0.311329,0.000000,0.000000,0.000000,0.000000,0.311329,0.001068,0.000134,-0.000000
23.123270,-0.448623,0.296274,0.000000,0.000000,0.000000,0.000000,0.296274,0.004926,0.000128,0.000000
23.223910,-0.441539,0.281878,0.000000,0.000000,0.000000,0.000000,0.281878,0.010333,0.000123,0.000000
23.324560,-0.427175,0.268114,0.000000,0.000000,0.000000,0.000000,0.268114,0.006238,0.000117,0.000000
23.425200,-0.458762,0.254962,0.000000,0.000000,0.000000,0.000000,0.254962,-0.000872,0.000112,0.000000
23.525840,-0.450258,0.242396,0.000000,0.000000,0.000000,0.000000,0.242396,-0.001013,0.000107,0.000000
23.626480,-0.444694,0.230392,0.000000,0.000000,0.000000,0.000000,0.230392,-0.000841,0.000102,0.000000
23.727120,-0.448230,0.218930,0.000000,0.000000,0.000000,0.000000,0.218930,-0.002608,0.000098,0.000000
23.827760,-0.450746,0.207987,0.000000,0.000000,0.000000,0.000000,0.207987,-0.007888,0.000093,0.000000
23.928400,-0.444243,0.197543,0.000000,0.000000,0.000000,0.000000,0.197543,-0.012158,0.000089,0.000000
24.029040,-0.466569,0.187578,0.000000,0.000000,0.000000,0.000000,0.187578,-0.011606,0.000085,0.000000
24.129680,-0.437165,0.178072,0.000000,0.000000,0.000000,0.000000,0.178072,-0.005832,0.000081,0.000000
24.230320,-0.439781,0.169007,0.000000,0.000000,0.000000,0.000000,0.169007,0.000701,0.000077,0.000000
24.330970,-0.449498,0.160363,0.000000,0.000000,0.000000,0.000000,0.160363,-0.002127,0.000073,0.000000
24.431610,-0.430884,0.152124,0.000000,0.000000,0.000000,0.000000,0.152124,-0.007939,0.000070,0.000000
24.532250,-0.436320,0.144274,0.000000,0.000000,0.000000,0.000000,0.144274,-0.007118,0.000067,0.000000
24.632890,-0.424157,0.136796,0.000000,0.000000,0.000000,0.000000,0.136796,-0.001868,0.000064,0.000000
24.733530,-0.431233,0.129673,0.000000,0.000000,0.000000,0.000000,0.129673,0.002679,0.000061,0.000000
24.834170,-0.425469,0.122892,0.000000,0.000000,0.000000,0.000000,0.122892,0.002009,0.000058,0.000000
24.934810,-0.409845,0.116436,0.000000,0.000000,0.000000,0.000000,0.116436,0.000825,0.000055,0.000000
25.035450,-0.388701,0.110293,0.000000,0.000000,0.000000,0.000000,0.110293,0.003952,0.000052,0.000000
25.136090,-0.390458,0.104449,0.000000,0.000000,0.000000,0.000000,0.104449,0.005220,0.000050,0.000000
25.236730,-0.378804,0.098890,0.000000,0.000000,0.000000,0.000000,0.098890,0.000292,0.000047,0.000000
25.337370,-0.365190,0.093604,0.000000,0.000000,0.000000,0.000000,0.093604,-0.001245,0.000045,0.000000
25.438020,-0.373867,0.088578,0.000000,0.000000,0.000000,0.000000,0.088578,0.006432,0.000043,0.000000
25.538660,-0.380313,0.083803,0.000000,0.000000,0.000000,0.000000,0.083803,0.007551,0.000041,0.000000
25.639300,-0.330009,0.079265,0.000000,0.000000,0.000000,0.000000,0.079265,0.000265,0.000039,0.000000
25.739940,-0.333255,0.074955,0.000000,0.000000,0.000000,0.000000,0.074955,-0.005057,0.000037,0.000000
25.840580,-0.319741,0.070862,0.000000,0.000000,0.000000,0.000000,0.070862,-0.008650,0.000035,0.000000
25.941220,-0.289478,0.066976,0.000000,0.000000,0.000000,0.000000,0.066976,-0.007416,0.000033,0.000000
26.041860,-0.302714,0.063288,0.000000,0.000000,0.000000,0.000000,0.063288,-0.001709,0.000031,0.000000
26.142500,-0.268050,0.059788,0.000000,0.000000,0.000000,0.000000,0.059788,0.005788,0.000030,0.000000
26.243140,-0.266506,0.056468,0.000000,0.000000,0.000000,0.000000,0.056468,0.008549,0.000028,0.000000
26.343780,-0.241092,0.053319,0.000000,0.000000,0.000000,0.000000,0.053319,0.003135,0.000027,0.000000
26.444430,-0.221329,0.050334,0.000000,0.000000,0.000000,0.000000,0.050334,-0.000620,0.000025,0.000000
26.545070,-0.225425,0.047504,0.000000,0.000000,0.000000,0.000000,0.047504,0.000370,0.000024,0.000000
26.645710,-0.182081,0.044822,0.000000,0.000000,0.000000,0.000000,0.044822,0.004612,0.000023,0.000000
26.746350,-0.186878,0.042282,0.000000,0.000000,0.000000,0.000000,0.042282,0.004841,0.000022,0.000000
26.846990,-0.163624,0.039876,0.000000,0.000000,0.000000,0.000000,0.039876,-0.001938,0.000020,0.000000
26.947630,-0.140680,0.037597,0.000000,0.000000,0.000000,0.000000,0.037597,-0.003984,0.000019,0.000000
27.048270,-0.128296,0.035440,0.000000,0.000000,0.000000,0.000000,0.035440,0.000003,0.000018,0.000000
27.148910,-0.134122,0.033399,0.000000,0.000000,0.000000,0.000000,0.033399,0.000100,0.000017,0.000000
27.249550,-0.094789,0.031467,0.000000,0.000000,0.000000,0.000000,0.031467,-0.004505,0.000016,0.000000
27.350190,-0.067905,0.029640,0.000000,0.000000,0.000000,0.000000,0.029640,-0.001277,0.000015,0.000000
27.450840,-0.063231,0.027912,0.000000,0.000000,0.000000,0.000000,0.027912,0.000638,0.000015,0.000000
27.551480,-0.031738,0.026279,0.000000,0.000000,0.000000,0.000000,0.026279,-0.008019,0.000014,0.000000
27.652120,-0.021794,0.024735,0.000000,0.000000,0.000000,0.000000,0.024735,-0.009673,0.000013,0.000000
27.752760,-0.006740,0.023276,0.000000,0.000000,0.000000,0.000000,0.023276,-0.002899,0.000012,0.000000
27.853400,0.024354,0.021898,0.000000,0.000000,0.000000,0.000000,0.021898,0.002445,0.000012,0.000000
27.954040,0.039928,0.020596,0.000000,0.000000,0.000000,0.000000,0.020596,0.002829,0.000011,0.000000
28.054680,0.038511,0.019368,0.000000,0.000000,0.000000,0.000000,0.019368,0.001191,0.000010,0.000000
28.155320,0.073105,0.018207,0.000000,0.000000,0.000000,0.000000,0.018207,-0.000119,0.000010,0.000000
28.255960,0.099639,0.017113,0.000000,0.000000,0.000000,0.000000,0.017113,-0.005779,0.000009,0.000000
28.356600,0.108293,0.016080,0.000000,0.000000,0.000000,0.000000,0.016080,-0.007475,0.000009,0.000000
28.457250,0.160086,0.015106,0.000000,0.000000,0.000000,0.000000,0.015106,0.000696,0.000008,0.000000
28.557890,0.163890,0.014187,0.000000,0.000000,0.000000,0.000000,0.014187,0.002632,0.000008,0.000000
28.658530,0.178314,0.013321,0.000000,0.000000,0.000000,0.000000,0.013321,-0.001144,0.000007,0.000000
28.759170,0.221638,0.012505,0.000000,0.000000,0.000000,0.000000,0.012505,0.002383,0.000007,0.000000
28.859810,0.236161,0.011736,0.000000,0.000000,0.000000,0.000000,0.011736,0.006285,0.000006,0.000000
28.960450,0.258275,0.011011,0.000000,0.000000,0.000000,0.000000,0.011011,0.007444,0.000006,0.000000
29.061090,0.270269,0.010329,0.000000,0.000000,0.000000,0.000000,0.010329,0.008219,0.000006,0.000000
29.161730,0.302683,0.009687,0.000000,0.000000,0.000000,0.000000,0.009687,0.003690,0.000005,0.000000
29.262370,0.311656,0.009082,0.000000,0.000000,0.000000,0.000000,0.009082,-0.004869,0.000005,0.000000
29.363010,0.340150,0.008513,0.000000,0.000000,0.000000,0.000000,0.008513,-0.010277,0.000005,0.000000
29.463650,0.389234,0.007978,0.000000,0.000000,0.000000,0.000000,0.007978,-0.010732,0.000005,0.000000
29.564300,0.403647,0.007474,0.000000,0.000000,0.000000,0.000000,0.007474,-0.003253,0.000004,0.000000
29.664940,0.433191,0.007001,0.000000,0.000000,0.000000,0.000000,0.007001,0.006574,0.000004,0.000000
29.765580,0.446105,0.006556,0.000000,0.000000,0.000000,0.000000,0.006556,0.003689,0.000004,0.000000
29.866220,0.490479,0.006138,0.000000,0.000000,0.000000,0.000000,0.006138,-0.008040,0.000004,0.000000
29.966860,0.511693,0.005745,0.000000,0.000000,0.000000,0.000000,0.005745,-0.012926,0.000003,0.000000
